date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_mlp_8
1946-01-01,1095.0249999999992,1444.198616180507,1197.3892389014306,890,
1946-02-01,1077.3934210526309,1417.7272045877276,1182.255800136196,992,
1946-03-01,1214.0776315789465,1545.5715803337537,1321.147433439699,979,
1946-04-01,1322.1302631578938,1644.7843762768762,1431.1167703908964,959,
1946-05-01,1385.0249999999992,1698.83927674319,1495.6374952003123,1110,
1946-06-01,1539.4986842105254,1844.473122881762,1651.4464499732103,1546,
1946-07-01,1929.709210526315,2225.843808421344,2042.7015294464325,1539,
1946-08-01,3034.4986842105254,3321.7934352765697,3148.244838883137,3401,
1946-09-01,2284.709210526315,2563.16412667662,2398.9184835464807,2092,
1946-10-01,1815.6565789473675,2085.271657162996,1930.038252910149,1436,
1946-11-01,1636.130263157894,1896.9055003584456,1750.393620658351,1301,
1946-12-01,1397.6039473684202,1649.5393429107253,1511.458271001615,1287,
1947-01-01,1220.817543859648,1464.4041988594968,1362.5325221780934,1488,
1947-02-01,1203.1859649122798,1438.9149915567698,1344.9249807775277,1517,1260.8287581197692
1947-03-01,1339.8701754385957,1567.7415715928482,1481.3748133795816,1707,1360.020366506708
1947-04-01,1447.922807017543,1667.9365718260235,1588.934651563212,1729,1434.9276830258302
1947-05-01,1510.817543859648,1722.9736765823898,1651.0781795389437,1788,1488.1159796137486
1947-06-01,1665.2912280701746,1869.5897270110145,1804.5422394120385,2008,1665.9033804755443
1947-07-01,2055.501754385964,2251.9426168406494,2193.48472591934,2203,1959.1560238786858
1947-08-01,3160.291228070175,3348.874447985927,3296.747744324007,3713,2746.777458137373
1947-09-01,2410.501754385964,2591.22734367603,2545.1733998891937,2946,2630.703128844553
1947-10-01,1941.4491228070167,2114.317078452459,2074.077482088588,2082,2093.597527732729
1947-11-01,1761.9228070175432,1926.933125937961,1892.2494646063972,2033,1741.766661419351
1947-12-01,1523.3964912280694,1680.5491727802937,1651.1630316531514,1937,1677.8859347553466
1948-01-01,1346.610087719297,1496.3962330191175,1500.1185014670018,1711,1753.5357886832237
1948-02-01,1328.978508771929,1471.889230006443,1480.4244806376903,1775,1739.4375679355721
1948-03-01,1465.6627192982446,1601.698014332574,1614.8201357448806,1902,1888.1827194795085
1948-04-01,1573.715350877192,1702.875218855802,1720.3580983675297,1846,1983.316236258442
1948-05-01,1636.610087719297,1758.894527902221,1780.5120527161614,2083,1983.9057651298167
1948-06-01,1791.0837719298238,1906.4927826208984,1932.0188408960396,2262,2158.2066304630985
1948-07-01,2181.2942982456134,2289.827876740585,2319.0363576440054,2193,2554.7160044305524
1948-08-01,3286.083771929824,3387.741912175916,3420.406708223218,3792,3127.638201003202
1948-09-01,2536.2942982456134,2631.077012156072,2666.971997896835,2343,3252.58707489919
1948-10-01,2067.241666666666,2155.148951222553,2194.0480161385403,2313,2329.5981921141965
1948-11-01,1887.715350877192,1968.747202998108,2010.4242366325432,2179,2212.224623916176
1948-12-01,1649.1890350877184,1723.3454541304927,1767.5743435893723,1975,2040.1687921261073
1949-01-01,1472.4026315789465,1540.174718659369,1614.7986552471802,1880,1933.9856433428843
